   ,PURNO,RCVNO,CO,LNO,DIV,PURID,PURPRW,VNDNO,RCVDAT,MTNO,DLSTK,QLMK,OVDMK,ANS,GFDAT,OVDDYS,MTPAYDAT,CO,PURNO,ORDLNO,IT,DIV,ORDDAT,KINDAT,KINEMP,PURPRW,DLSTK,MKDYS,INQVND,ORDVND,PURID,MTNO,SPECID,ORDCAQQTY,CAQUN,ORDCPRQTY,CPRUN,CPRUP,CUCY,CIFUP,EXR,OCRYTAMT,CIFTAMT,ACRCVQTY,ACCPRRCVQTY,RCVDAT,ENDMK,DLABMK,RCVWRFDAT,DLHNTPRTMK,CNTRNO,CSTIDX,MLDTAXR,ISPMK,BRND,CIFCIFR,FRMID,RASHMK,SCDDAT,PAYENDMK,NCRDAT,AGRSUPPIVDDOC,PAYID,IVID,PAYTRM,ORGI,DRSUPPMK,DRSUPPDATNUM,ANNOUPSUPPMK,SIGNMK,OVSHPR,OVDPUNR,OVDPUNRUPL,CNTRPEMK,JBSAFMK,DLSITE,HLISID,BIDCLASSDATE,WWWMK,APKID,EMGPURMK,PLADDR,COTYPE,PURSTDNO,BGUP,BGCUCY
32,KWWM87,W63716,LG,00,6,0,LG22,0201275452,0190104,LUBLOT68,MW60,,,0,0190114,,,LG,KWWM87,00,01,6,0181227,0181227,VNW0000049,LG22,MW60,30,,0201275452,0,LUBLOT68,1121-11052200HD220,80.000,TK,,,9229000.00000,VND,,,738320000.00,,80.000,0.000,0190119,E,,0190122,,,,10,,Formosa-Idemitsu,,C3,,0190129,,,,,,,VN,,,,,,,,,,,,,E,,,,,,,
33,KW0V82,W64021,LG,00,7,0,LG24,0303655252,0190108,CHEINLGKW0V8202,B771,,,0,0190115,,,LG,KW0V82,00,01,7,0181020,0181020,VNW0007257,LG24,B771,90,,0303655252,0,CHEINLGKW0V8201,1001-C0511D02860,2.000,BX,,,1950000.00000,VND,,,3900000.00,,2.000,0.000,0181128,E,,0181130,,,,10,,LECO,,C3,,0190122,,,,,,,US,,,,,,,,,,,,,E,,*,,,7720-502656,,
34,KW0V82,W64021,LG,00,7,0,LG24,0303655252,0190108,CHEINLGKW0V8202,B771,,,0,0190115,,,LG,KW0V82,00,03,7,0181020,0181020,VNW0007257,LG24,B771,90,,0303655252,0,CHEINLGKW0V8203,1001-C0571D02850,71.000,BX,,,3550000.00000,VND,,,252050000.00,,71.000,0.000,0181128,E,,0181130,,,,10,,LECO,,C3,,0190122,,,,,,,US,,,,,,,,,,,,,E,,*,,,7720-502170,,
35,KW7NE6,W64424,LG,00,4,0,LG4,2802022805,0190112,CHEIN848,B4MD,,*,1,0190115,5,,LG,KW7NE6,00,01,4,0180906,0180906,VNW0000341,LG4,B4MD,3,,2802022805,0,CHEIN848,1001-S0323326,209225.000,KG,,,5538.00000,VND,,,1158688050.00,,209354.000,0.000,0190117,E,,0190119,,,,10,,NAOH 32%,,C3,,M,,,,,,,VN,,,,,,,,,,,,,E,52,,,,,3900.00000,VND
36,KW0V82,W64021,LG,00,7,0,LG24,0303655252,0190108,CHEINLGKW0V8202,B771,,,0,0190115,,,LG,KW0V82,00,02,7,0181020,0181020,VNW0007257,LG24,B771,90,,0303655252,0,CHEINLGKW0V8202,1001-C0511D028A0,12.000,BX,,,1170000.00000,VND,,,14040000.00,,12.000,0.000,0190108,E,,0190110,,,,10,,LECO,,C3,,0190122,,,,,,,US,,,,,,,,,,,,,E,,*,,,7720-CUO,,
37,KW0ZF3,W63733,LG,YA,4,0,LG26,2802022805,0190105,CHEIN7,B4MD,,,0,0190116,,,LG,KW0ZF3,YA,01,4,0181129,0181217,VNW0007243,LG26,B4MD,3,,2802022805,0,CHEIN7,1001-A0103086,300000.000,KG,,,3188.00000,VND,,,956400000.00,,300000.000,0.000,0190216,E,,0190220,,,,10,,VIET NAM,,C3,,0190228,,,,,,,VN,,,,,,,,,,,,,E,52,,,,,,
38,KW7PN0,W63505,LG,00,5,0,LG4,2802022805,0190103,CHEIN848,B523,,,0,0190116,,,LG,KW7PN0,00,01,5,0180919,0180919,VNW0000341,LG4,B523,2,,2802022805,0,CHEIN848,1001-S0323326,1982230.000,KG,,,5480.00000,VND,,,10862620400.00,,1980930.000,0.000,0190110,E,,0190112,,,,10,,NAOH 32%,,C3,,M,,,,,,,VN,,,,,,,,,,,,,E,52,,,,5240L005,2721600000.00000,VND
39,KW96U8,W64046,LG,00,4,0,LG30,3001925701,0190109,CHEIN7,B4MD,,,0,0190116,,,LG,KW96U8,00,01,4,0181116,0190216,VNW0000361,LG30,B4MD,3,,3001925701,0,CHEIN7,1001-A0103086,128690.000,KG,,,3100.00000,VND,,,398939000.00,,128690.000,0.000,0190109,E,,0190216,,,,10,,Nh?m Sunfat,,C3,,M,,,,,,,VN,,,,,,,,,,,,,D,52,,,,,3200.00000,VND
40,KW7PN0,W63502,LG,00,5,0,LG4,2802022805,0190103,CHEIN848,B523,,,0,0190116,,,LG,KW7PN0,00,01,5,0180919,0180919,VNW0000341,LG4,B523,2,,2802022805,0,CHEIN848,1001-S0323326,1982230.000,KG,,,5480.00000,VND,,,10862620400.00,,1980930.000,0.000,0190110,E,,0190112,,,,10,,NAOH 32%,,C3,,M,,,,,,,VN,,,,,,,,,,,,,E,52,,,,5240L005,2721600000.00000,VND
41,KW0UK7,W64552,LG,00,7,0,LG10,0102146872,0190114,CHEOS852,B771,,*,1,0190116,58,,LG,KW0UK7,00,01,7,0181015,0181015,VNW0005270,LG10,B771,30,,0102146872,0,CHEOS852,1002-C0441A714J0,2.000,CA,,,835000.00000,VND,,,1670000.00,,2.000,0.000,0190114,E,,0190116,,,,10,, MERCK 1002440500,,C3,,0181117,,,,,,,DE,,,,,,,,,,,,,E,,,,,1002440500,,
